,SMILES,NFAs name ,HOMO,LUMO,Eg,Jsc,Voc,FF,PCE,reference
10,CCCCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(C)C)C2=C1C1=NSN=C1C1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,Bu-OD-4F,-5.68,-4.01,1.42,27,0.85,0.767,17.37,"S. Chen, L. Feng, T. Jia, J. Jing, Z. Hu, K. Zhang, F. Huang, High-performance polymer solar cells with efficiency over 18% enabled by asymmetric side chain engineering of non-fullerene acceptors, Sci. China Chem. 64 (2021) 1192–1199. https://doi.org/10.1007/s11426-021-1013-0."
11,CCCCC(CC)CCC1=CC=CC(C2=C(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)SC3=C2SC2=C3N(CC(CC)CCCC)C3=C2C2=NSN=C2C2=C3N(CC(CC)CCCC)C3=C2SC2=C3SC(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2C2=CC=CC(CCC(CC)CCCC)=C2)=C1,BTP-4F-P3EH,-5.66,-3.89,1.4,26.11,0.861,0.7813,17.29,"J. Zhang, F. Bai, I. Angunawela, X. Xu, S. Luo, C. Li, G. Chai, H. Yu, Y. Chen, H. Hu, Z. Ma, H. Ade, H. Yan, Alkyl-Chain Branching of Non-Fullerene Acceptors Flanking Conjugated Side Groups toward Highly Efficient Organic Solar Cells, Adv. Energy Mater. 11 (2021) 2102596. https://doi.org/10.1002/aenm.202102596."
12,CCCCCCCCC(CCCCCC)CN1C2=C(SC3=C2SC(/C=C2C(=O)C4=CC(F)=C(F)C=C4C2=C(C#N)C#N)=C3CCCCCC)C2=C1C1=C(C3=NSN=C32)C2=C(C3=C(S2)C(CCCCCC)=C(/C=C2CC4=CC(F)=C(F)C=C4C2=C(C#N)C#N)S3)N1CC(CCCCCC)CCCCCCCC,BTP-4F-C6-16,-5.72,-3.92,,26.61,0.843,0.7691,17.26,"L. Wang, C. Guo, X. Zhang, S. Cheng, D. Li, J. Cai, C. Chen, Y. Fu, J. Zhou, H. Qin, D. Liu, T. Wang, Alkyl Chain Tuning of Non-fullerene Electron Acceptors toward 18.2% Efficiency Binary Organic Solar Cells, Chem. Mater. 33 (2021) 8854–8862. https://doi.org/10.1021/acs.chemmater.1c03104."
13,CCCCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,BTP-4Cl-BO,-5.62,-4.05,1.35,26.74,0.844,0.7619,17.2,"Y. Pan, X. Zheng, J. Guo, Z. Chen, S. Li, C. He, S. Ye, X. Xia, S. Wang, X. Lu, H. Zhu, J. Min, L. Zuo, M. Shi, H. Chen, A New End Group on Nonfullerene Acceptors Endows Efficient Organic Solar Cells with Low Energy Losses, Adv. Funct. Mater. 32 (2022) 2108614. https://doi.org/10.1002/adfm.202108614."
14,CCCCCCC1=C(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NN(CC(C)C)N=C1C1=C2N(CC(CC)CCC)C2=C1SC1=C2SC(/C=C2/C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCC,BTA-C5,-5.66,-4,,26.51,0.847,0.7619,17.11,"H. Chen, X. Xia, J. Yuan, Q. Wei, W. Liu, Z. Li, C. Zhu, X. Wang, H. Guan, X. Lu, Y. Li, Y. Zou, Compatibility between Solubility and Enhanced Crystallinity of Benzotriazole-Based Small Molecular Acceptors with Less Bulky Alkyl Chains for Organic Solar Cells, ACS Appl. Mater. Interfaces. 13 (2021) 36053–36061. https://doi.org/10.1021/acsami.1c07254."
15,CCCCCCCCCCCOC1=C(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1OC1=C2N(CC(CCCC)CCCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,BTP1O-4Cl-C12,-5.84,-3.9,1.41,23.8,0.91,0.788,17.1,"Y. Chen, R. Ma, T. Liu, Y. Xiao, H.K. Kim, J. Zhang, C. Ma, H. Sun, F. Bai, X. Guo, K.S. Wong, X. Lu, H. Yan, Side-Chain Engineering on Y-Series Acceptors with Chlorinated End Groups Enables High-Performance Organic Solar Cells, Adv. Energy Mater. 11 (2021) 2003777. https://doi.org/10.1002/aenm.202003777."
16,CCCCCCC1=CC=C(C2=C(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)SC3=C2SC2=C3N(CC(CC)CCCC)C3=C2C2=NSN=C2C2=C3N(CC(CC)CCCC)C3=C2SC2=C3SC(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2C2=CC=C(CCCCCC)C=C2)C=C1,n-BTP-PhC6,-5.59,-3.85,1.36,24.7,0.888,0.779,17.1,"G. Chai, Y. Chang, J. Zhang, X. Xu, L. Yu, X. Zou, X. Li, Y. Chen, S. Luo, B. Liu, F. Bai, Z. Luo, H. Yu, J. Liang, T. Liu, K.S. Wong, H. Zhou, Q. Peng, H. Yan, Fine-tuning of side-chain orientations on nonfullerene acceptors enables organic solar cells with 17.7% efficiency, Energy Environ. Sci. 14 (2021) 3469–3479. https://doi.org/10.1039/D0EE03506H."
17,CCCCCCCCCCCC1=C(/C=C2C(=O)C3=C(Cl)SC=C3C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=CSC(Cl)=C3C2=C(C#N)C#N)=C1CCCCCCCCCCC,BTP-2ThCl,-5.83,-3.81,1.34,25.38,0.869,0.774,17.06,"Z. Luo, R. Ma, T. Liu, J. Yu, Y. Xiao, R. Sun, G. Xie, J. Yuan, Y. Chen, K. Chen, G. Chai, H. Sun, J. Min, J. Zhang, Y. Zou, C. Yang, X. Lu, F. Gao, H. Yan, Fine-Tuning Energy Levels via Asymmetric End Groups Enables Polymer Solar Cells with Efficiencies over 17%, Joule. 4 (2020) 1236–1247. https://doi.org/10.1016/j.joule.2020.03.023."
18,CCCCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,Bo-4F,-5.7,-4.01,1.4,26.2,0.84,0.766,17.06,"S. Chen, L. Feng, T. Jia, J. Jing, Z. Hu, K. Zhang, F. Huang, High-performance polymer solar cells with efficiency over 18% enabled by asymmetric side chain engineering of non-fullerene acceptors, Sci. China Chem. 64 (2021) 1192–1199. https://doi.org/10.1007/s11426-021-1013-0."
19,CCCCCCC1=C(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)[Se]C2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NNN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2[Se]C(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CC1=CC=C2C=C3C=CC(C)=CC3=CC2=C1,mBzS-4F,-5.6,-3.9,,27.72,0.804,0.7635,17.02,"F. Qi, K. Jiang, F. Lin, Z. Wu, H. Zhang, W. Gao, Y. Li, Z. Cai, H.Y. Woo, Z. Zhu, A.K.-Y. Jen, Over 17% Efficiency Binary Organic Solar Cells with Photoresponses Reaching 1000 nm Enabled by Selenophene-Fused Nonfullerene Acceptors, ACS Energy Lett. 6 (2021) 9–15. https://doi.org/10.1021/acsenergylett.0c02230."
20,CCCCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,BTP-4Cl-12,,,,25.6,0.858,0.776,17,"Y. Cui, H. Yao, L. Hong, T. Zhang, Y. Tang, B. Lin, K. Xian, B. Gao, C. An, P. Bi, W. Ma, J. Hou, Organic photovoltaic cell with 17% efficiency and superior processability, Natl. Sci. Rev. 7 (2020) 1239–1246. https://doi.org/10.1093/nsr/nwz200."
21,CCCCCCC1=CC=CC(C2=C(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)SC3=C2SC2=C3N(CC(CC)CCCC)C3=C2C2=NSN=C2C2=C3N(CC(CC)CCCC)C3=C2SC2=C3SC(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2C2=CC=CC(CCCCCC)=C2)=C1,BTP-4F-PC6,-5.65,-3.9,1.37,25.08,0.855,0.8033,16.86,"J. Zhang, F. Bai, I. Angunawela, X. Xu, S. Luo, C. Li, G. Chai, H. Yu, Y. Chen, H. Hu, Z. Ma, H. Ade, H. Yan, Alkyl-Chain Branching of Non-Fullerene Acceptors Flanking Conjugated Side Groups toward Highly Efficient Organic Solar Cells, Adv. Energy Mater. 11 (2021) 2102596. https://doi.org/10.1002/aenm.202102596."
22,CCCCCCCCCCCC1=C(C=C2C(=O)C3=C(Br)SC(Br)=C3C2=O)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(C=C2C(=O)C3=C(Br)SC(Br)=C3C2=O)=C1CCCCCCCCCCC,BTIC-BO-2ThBr,-5.48,-3.71,1.53,26.02,0.851,0.761,16.86,"C. Cao, H. Lai, H. Chen, Y. Zhu, M. Pu, N. Zheng, F. He, Over 17.5% efficiency ternary organic solar cells with enhanced photon utilization via a medium band gap non-fullerene acceptor, J. Mater. Chem. A. 9 (2021) 16418–16426. https://doi.org/10.1039/D1TA04454K."
23,CCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NN(CC(CC)CCCC)N=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=C4C(=C3)C3=C4C4C=CC3C4)C2=C(C#N)C#N)=C1CCCCCCCC,LL3,-5.48,-3.78,1.7,26.97,0.86,0.7227,16.82,"H. Lu, H. Jin, H. Huang, W. Liu, Z. Tang, J. Zhang, Z. Bo, High-Efficiency Organic Solar Cells Based on Asymmetric Acceptors Bearing One 3D Shape-Persistent Terminal Group, Adv. Funct. Mater. 31 (2021) 2103445. https://doi.org/10.1002/adfm.202103445."
24,CCCCCCCCC(CCCCCC)CN1C2=C(SC3=C2SC(/C=C2C(=O)C4=CC(F)=C(F)C=C4C2=C(C#N)C#N)=C3CCCCCCC)C2=C1C1=C(C3=NSN=C32)C2=C(C3=C(S2)C(CCCCCCC)=C(/C=C2CC4=CC(F)=C(F)C=C4C2=C(C#N)C#N)S3)N1CC(CCCCCC)CCCCCCCC,BTP-4F-C7-16,-5.72,-3.92,,26.3,0.848,0.7541,16.81,"L. Wang, C. Guo, X. Zhang, S. Cheng, D. Li, J. Cai, C. Chen, Y. Fu, J. Zhou, H. Qin, D. Liu, T. Wang, Alkyl Chain Tuning of Non-fullerene Electron Acceptors toward 18.2% Efficiency Binary Organic Solar Cells, Chem. Mater. 33 (2021) 8854–8862. https://doi.org/10.1021/acs.chemmater.1c03104."
25,CCCCCCCCC1=C(/C=C2C(=O)C3=CC(F)=C(F)C=C3C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCCCC)CCCCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCCCC)CCCCCCCC)C2=C1SC1=C2SC(/C=C2CC3=CC(F)=C(F)C=C3C2=C(C#N)C#N)=C1CCCCCCCC,BTP-4F-C8-16,-5.71,-3.91,,26.14,0.851,0.7534,16.76,"L. Wang, C. Guo, X. Zhang, S. Cheng, D. Li, J. Cai, C. Chen, Y. Fu, J. Zhou, H. Qin, D. Liu, T. Wang, Alkyl Chain Tuning of Non-fullerene Electron Acceptors toward 18.2% Efficiency Binary Organic Solar Cells, Chem. Mater. 33 (2021) 8854–8862. https://doi.org/10.1021/acs.chemmater.1c03104."
26,CCCCC(CC)CN1C2=C(SC3=C2SC(/C=C2C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)=C3CCCCCC2=CC=CC=C2)C2=C1C1=C(C3=NSN=C32)C2=C(C3=C(S2)C(CCCCCC2=CC=CC=C2)=C(/C=C2C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)S3)N1CC(CC)CCCC,BTP-C6Ph,-5.6,-3.94,1.36,25,0.865,0.77,16.7,"G. Chai, Y. Chang, Z. Peng, Y. Jia, X. Zou, D. Yu, H. Yu, Y. Chen, P.C.Y. Chow, K.S. Wong, J. Zhang, H. Ade, L. Yang, C. Zhan, Enhanced hindrance from phenyl outer side chains on nonfullerene acceptor enables unprecedented simultaneous enhancement in organic solar cell performances with 16.7% efficiency, Nano Energy. 76 (2020) 105087. https://doi.org/10.1016/j.nanoen.2020.105087."
27,CCCCCCCCC(CCCCCC)CN1C2=C(SC(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2)C2=C1C1=C(OCC(CC)CCCC)C3=C(C(OCC(CC)CCCC)=C1S2)C1=C(S3)C2=C(C=C(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)S2)N1CC(CCCCCC)CCCCCCCC,M3,-5.6,-3.85,1.41,24.03,0.92,0.7622,16.66,"Y. Ma, M. Zhang, S. Wan, P. Yin, P. Wang, D. Cai, F. Liu, Q. Zheng, Efficient Organic Solar Cells from Molecular Orientation Control of M-Series Acceptors, Joule. 5 (2021) 197–209. https://doi.org/10.1016/j.joule.2020.11.006."
28,CCCCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NC=CN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,AQX-2,-5.62,-3.88,,25.38,0.86,0.7625,16.64,"Z. Zhou, W. Liu, G. Zhou, M. Zhang, D. Qian, J. Zhang, S. Chen, S. Xu, C. Yang, F. Gao, H. Zhu, F. Liu, X. Zhu, Subtle Molecular Tailoring Induces Significant Morphology Optimization Enabling over 16% Efficiency Organic Solar Cells with Efficient Charge Generation, Adv. Mater. 32 (2020) 1906324. https://doi.org/10.1002/adma.201906324."
29,CCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C4C=CC(F)=CC4=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=C4C=C(F)C(F)=CC4=C3)C2=C(C#N)C#N)=C1CCCCCCCCC,BTP-C9-N4F,-5.51,-4.02,1.3,26.3,0.85,0.757,16.6,"Y. Shi, J. Pan, J. Yu, J. Zhang, F. Gao, K. Lu, Z. Wei, Optimizing the Charge Carrier and Light Management of Nonfullerene Acceptors for Efficient Organic Solar Cells with Small Nonradiative Energy Losses, Sol. RRL. 5 (2021) 2100008. https://doi.org/10.1002/solr.202100008."
30,CCCCCCC1=C(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NN(CCCCCC)N=C1C1=C2N(CC(CC)CCC)C2=C1SC1=C2SC(/C=C2/C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCC,BTA-C8,-5.66,-3.96,,26.18,0.837,0.7567,16.59,"H. Chen, X. Xia, J. Yuan, Q. Wei, W. Liu, Z. Li, C. Zhu, X. Wang, H. Guan, X. Lu, Y. Li, Y. Zou, Compatibility between Solubility and Enhanced Crystallinity of Benzotriazole-Based Small Molecular Acceptors with Less Bulky Alkyl Chains for Organic Solar Cells, ACS Appl. Mater. Interfaces. 13 (2021) 36053–36061. https://doi.org/10.1021/acsami.1c07254."
31,CCCCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NN(CC(CC)CCCC)N=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,Y11,,,,26.74,0.833,0.7433,16.54,"S. Liu, J. Yuan, W. Deng, M. Luo, Y. Xie, Q. Liang, Y. Zou, Z. He, H. Wu, Y. Cao, High-efficiency organic solar cells with low non-radiative recombination loss and low energetic disorder, Nat. Photonics. 14 (2020) 300–305. https://doi.org/10.1038/s41566-019-0573-5."
32,CCCCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CCC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CCC(CC)CCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,N3-4CL,-563,-3.98,1.35,25.901,0.852,0.749,16.532,"H. Yu, R. Ma, Y. Xiao, J. Zhang, T. Liu, Z. Luo, Y. Chen, F. Bai, X. Lu, H. Yan, H. Lin, Improved organic solar cell efficiency based on the regulation of an alkyl chain on chlorinated non-fullerene acceptors, Mater. Chem. Front. 4 (2020) 2428–2434. https://doi.org/10.1039/D0QM00151A."
